;;;;;
RUT CLIENTE;NOMBRE CLIENTE;NOMBRE OBRA;ID OBRA;CORREO CONTACTO;DIRECCION
77858110-8;Ingenieria y Construccion SIVEC Ltda.;Estanque Agua Potable Estadio Santa Laura;22573;jonathan.carvajal@sivec.cl;Julio Martinez esq. El Guanaco S/N
7234276-3;SERGIO JUAN CARLOS ARAVENA MOLINA;ESTANQUE AGUA POTABLE, CABURGA;21950;ingesam@gmail.com;CAMINO PLAYA BLANCA S/N
96982890-1;CONSTRUCTORA SUDAMERICANA;ESTANQUE ARCOR;22718;;GENERAL VELASQUEZ  9309
96788100-7;METROAGUAS S A;ESTANQUE BELLAVISTA, LA LIGUA;21895;emorales@metroaguas.cl;MIRAFLORES, VALLE HERMOSO 636
76019523-5;ENSI INGENIERIA Y CONSTRUCCION LTDA.;ESTANQUE BODENOR;24019;;CAMINO LO BOZA 120
76246895-6;MOMENTA CONSTRUCCIONES S.A.;ESTANQUE COLEGIO CABO DE HORNOS;23415;sebastian.irarrazaval@momenta.cl;Iganacio Carrera Pinto 14021
89912300-K;Ingenieria Y Construccion Ricardo Rodriguez Y Cia Ltda;Estanque Complejo Deportivo Buin;21909;;Bajos de Matte  01215
76043610-0;Patagonia Ingenieria Ltda.;Estanque Copec - Pureo Calbuco;21879;mcalvete@copec.cl;Parque Industrial Pureo S/N
76023886-4;INGENIERiA. MAESTRANZA. MONTAJE. ASILLERO MOLLAJE Y TRANSPORTE RODOLFO TEJEDA E.I.R.L.;ESTANQUE COPEC PARGUA;22136;rtsoldaduras@gmail.com;SECTOR PUREO, CALBUCO S/N
76033004-3;CONSTRUCTORA SU KSA S. A.;ESTANQUE DE AGUA;22629;JMGONZALEZ@SUKSA.CL;AVDA. JORGE ALESSANDRI RODRiGUEZ 13371
78225300-K;INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA;ESTANQUE DE AGUA;22818;PREPETTI@ACOX.XL;CARRETERA GRAL. SAN MARTIN 8000
76331103-1;Com. Y Distr. Energia Uno SPA;Estanque de Hormigón Armado;24015;devece@gmail.com;SECTOR SANTA MARTA s/n
78721930-6;CONSTRUCTORA OSCAR NUnEZ SPA;ESTANQUE ELEVADO;21970;rhurtadogaete1@gmail.com;CALLE LOS INGLESES S/N
76039787-3;Constructora Ageovial Ltda.;Estanque Elevado Maria Pinto;23421;ovarela@ageovial.cl;Ruta G-730 Km 17 1/2 Pje Camino El Tranque S/N
5194545-k;ENRIQUE VENTURA VAZQUEZ ARREDONDO;ESTANQUE H.A SEMI ENTERRADO;28092;screspop81@gmail.com;CAMINO LA COLONIA  S/N
96797930-9;Constructora Socovesa Temuco S.A;ESTANQUE H.A TOROBAYO;24155;cgonzalez@socovesa.cl;Calle Sillos esq. Ruta 350 Camino a Niebla S/N
76029573-6;AQUA INGENIERIA LIMITADA;ESTANQUE HA APR;23919;sup.constructor@gmail.com;LOCALIDAD PICATUI S/N
76377240-3;INGENIERIA Y CONSTRUCCION CAIQUEN LIMITADA;Estanque La Cantera;23770;mauricio.arzumendi@yahoo.es;reciento estanque la cantera s/n
78225300-K;INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA;Estanque Lampa;22998;prepetti@acox.cl;Calle Santa Isabel S/N
99541460-0;Termika Camval S.A.;ESTANQUE MINERA PELAMBRES;24242;supervisores2089mlp@camval.cl;MINERA LOS PELAMBRES SN
9165161-0;CRISTIAN ALEX CONTRERAS MARTINEZ;ESTANQUE PISICULTURA RIO CUDE;23335;IVAN.CONTRERAS@GMAIL.COM;CAMINO AUQUILDA S/N
76140629-9;SERVICIOS Y CONSTRUCCIONES DEL SUR S.A;ESTANQUE REGIMIENTO BUIN;22058;frodriguez@sercosur.cl;AV. EL SALTO 2085
15405644-0;FABIAN ANDRES SAAVEDRA MIRANDA;Estanque San Vicente de Naltahua;22861;fabiansaavedram@gmail.com;Rio Maipo s/n
76331103-1;Com. Y Distr. Energia Uno SPA;ESTANQUE SANTA MARTA;24045;devece@gmail.com;SECTOR SANTA MARTA, LONGOTOMA S/N
76039787-3;Constructora Ageovial Ltda.;Estanque Santa Marta de Liray;22512;jsepulveda@ageovial.cl;Santa Marta de Liray sin numero 0000
76060431-3;PROYECTOS DE INGENIERIA LTDA.;ESTANQUE SEMI ENTERRADO LA LIGUA;24467;jusm.car@gmail.com;localidad villa huaquen sn
76060431-3;PROYECTOS DE INGENIERIA LTDA.;ESTANQUE SEMIENTERRADO 100M3 PETORCA;24568;jusm.car@gmail.com;petorca sn
76377240-3;INGENIERIA Y CONSTRUCCION CAIQUEN LIMITADA;ESTANQUE SEMIENTERRADO PUERTO VARAS;22203;CAIQUEN@GMAIL.COM;RECINTO ESSAL SECTOR BIO-BIO PUERTO S/N
83407700-0;NAVARRETE DIAZ CUMSILLE INGENIEROS LTDA.;ESTANQUE TOPATER;26781;daniel.lemus@nadic.cl;CALAMA S/N
76146919-3;CONSTRUCTORA QUALE DOMO LTDA.;ESTANQUE VINILIT;22952;;JORGE ALESSANDRI 10900
99541460-0;Termika Camval S.A.;ESTANQUES CIRCULARES MINERA PELAMBRES;24246;;MINERA LOS PELAMBRES  SN
80207900-1;Claro Vicuna Valenzuela S.A.;ESTRIBOS PASARELAS PTO VARAS;23680;;CERRO EL PLOMO 5420 PISO 10
77167300-7;INSPECCIONES ASESORIAS TECNICAS Y CONSTRUCCION LIMITADA;ESVAL-ALGARROBO NORTE;22781;pgalleguillos@inatec.cl;Camino de en medio, San Jose / Mirasol 0
77745670-9;SOLUCIONES DIGITALES LIMITADA;EVENTO FAURE - DALCAHUE;23737;cavila@solucionesdigitales.cl;DALCAHUE S/N
15792027-8;FRANCISCO JAVIER LOPEZ TILLERIA;EVENTO MUELLE BARON;23950;planetateatro@gmail.com;MUELLE BARON  S/N
13244516-8;ESTEBAN ENRIQUE ESTAY CIFUENTES;EVENTO MUNICIPALIDAD DE RECOLETA;22577;ecifuentes@cimtec.cl;BOMBERO NUnEZ 260
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;EXTERIORES - VISTA HUECHURABA;24052;aespinosa@cfl.cl;CAMINO DE CINTURA 1401
99572920-2;Endemol Chile S.A.;Extreme Make Over;21976;consuelo.silva@endemol.cl;Josue Smith Solar 426
99572920-2;Endemol Chile S.A.;Extreme Makeover Colina;22775;consuelo.silva@endemol.cl;Las Acacias  23 A
99572920-2;Endemol Chile S.A.;Extreme Makeover Penaflor;22773;consuelo.silva@endemol.cl;Vicuna Mackena  2567
76091988-8;GLOBAL CONSTRUCCIONES LTDA.;FAB.ESCALERAS Y PLATAFORMA SALA CALDERA;24756;globaldecima@gmail.com;AVENIDA LA MARINA S/N
76364910-5;CONSTRUCTORA JOSE FERNANDO CANALES LAMAR EIRL;FABRICA DE CHOCOLATES EL DURAZNO;23255;cibanez@ccanales.cl;El Durazno 11232
78985840-3;SCRB INGENIERIA Y CONSTRUCCION & CIA. LTDA.;FABRICA EGATEL Y BODEGAS;23596;scrbltda@gmail.com;Los Yacimientos  1095
76175395-9;Constructora VSQ Ltda.;Fabrica y Chocolate y Miel;22583;msanmartin@vsq.cl;Fundo Miraflores  S/N
16168478-3;ROBERTO CASTILLO OPORTO;FABRICACION GALPON;24435;;CALETERA 5 SUR SECTOR CASA DE LATA  S/N
76293160-5;ANTS CONSTRUCTORA S.A.;FACHADA CELOSIA SAINT HONORE;24318;pmocarquer@antsconstructora.cl;Alosno de Cordova 2526
84413300-6;INGELAB INGENIERIA CIVIL LIMITADA;FACULTAD ODONTOLOGIA UNIVERSIDAD MAYOR;23305;mbrunetti@ingelab.cl;JOSE TORIBIO MEDINA 26
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA - ALTO LAS CONDES;23930;ljaque@icon.cl;Avenida Presidente Kennedy 9001
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA - PLAZA NORTE;22594;freddycastro@icon.cl;AVENIDA AMERICO VESPUCIO 1737
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA - SAN FERNANDO;23213;davidrubio@icon.cl;Avd. O’Higgins  701
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA CHILLAN;23104;alicialorca@icon.cl;EL ROBLE 770
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA COPIAPO;22688;sferrada@icon.cl;MAIPu 0109
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA PARQUE ARAUCO;22623;jcarrasco@icon.cl;AVENIDA PRESIDENTE KENNEDY 5413
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;FALABELLA RANCAGUA;22556;victorg@icon.cl;SARGENTO CUEVAS 405
86736100-6;PEREZ Y VALDIVIA LIMITADA.;FALABELLA RANCAGUA;22617;fmimica@tryos.cl;CUEVAS 405
76137730-2;Ingenieria y Const. German Gomez y Cia Ltda.;Farmaceutica Schubert;24439;rhevia@ggl.cl;Angel Guarello 1168
96988100-4;INGENIERIA Y CONSTRUCCION PUERTO PRINCIPAL S.A;Feria Abastos Illapel;23409;pguerra@icpp.cl;El Mirador S/N
76137681-0;MAPA CONSULTORES LIMITADA;FERIA MAS DECO;22526;isidoragebre@mapaconsultores.cl;PRESIDENTE BALMACEDA SN
76262460-5;CONSTRUCTORA M3 S.A;fernando de arguello;24698;cveloso@constructoram3.cl;NEVERIA 4600 OF 11
76411046-3;VINCI ENERGIES CHILE SPA;FGD & SCR RETROFIT GUACOLDA;24672;josef.mecking@insulex.de;Isla Guacolda S/N
15792027-8;FRANCISCO JAVIER LOPEZ TILLERIA;FONDA PERMANENTE CLUB HIPICO;24225;planetateatro@gmail.com;ABATE MOLINA 2570
15792027-8;FRANCISCO JAVIER LOPEZ TILLERIA;FONDA PERMANENTE KM16;24623;planetateatro@gmail.com;RUTA 68 KM 16, ESPACIO BROADWAY S/N
15792027-8;FRANCISCO JAVIER LOPEZ TILLERIA;FONDA PERMANENTE LA POPULAR ENERO 2016;27916;planetateatro@gmail.com;AV HIPODROMO CHILE  1715
76293160-5;ANTS CONSTRUCTORA S.A.;FORUS EGAnA;22783;pvillavicencio@antsconstructora.cl;AVDA LARRAIN 5862
79870500-8;EMPRESA DE OBRAS VIALES Y CONSTRUCCION LTDA.;FRAY JORGE;22403;adquisiciones.ovco@gmail.com;LIBERTAD 901
13990675-6;ISMAEL DURAN OLIVARES;FREIRINA;22418;isdoconstrucciones@gmail.com;LAGO RInIHUE 1255
76059724-4;CONSTRUCTORA JAIME JIMENEZ Y CIA LTDA.;FRIGORIFICO CONTOPSA;23749;jjimenezcespedes@gmail.com;av. Trapen km1 s/n
76059724-4;CONSTRUCTORA JAIME JIMENEZ Y CIA LTDA.;FRIGORIFICO CONTOPSA S.A.;22033;jljimenez@surnet.cl;CAMINO A TRAPEN KM 1 1
76124952-5;EQUIMAQ S.A.;FRIGORIFICO HOOK CHILR;26860;hamancilla@gmail.com;RUTA 5 SUR S/N
76059724-4;CONSTRUCTORA JAIME JIMENEZ Y CIA LTDA.;FRIGORIFICO MARYUN;24690;lealhott@gmail.com;KM 4.5 LOTE 1 CAMINO TEPUAL S/N
76525290-3;EBCOSUR S.A.;Frigorifico Megafrio Puerto Montt;24634;JORGE.GONZALEZG@EBCOSUR.CL;Ruta 5 Sur, Km. 1025 S/N
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA;FRIGORIFICO PATAGONIA FROZEN;24230;aojeda@bravoizquierdo.cl;CAMINO TRAPEN S/N
76059724-4;CONSTRUCTORA JAIME JIMENEZ Y CIA LTDA.;FRIGORIFICO PUERTO MONTT II;27995;jjimenezcespedes@gmail.com;CAMINO A PARGUA KM. 9
76553200-0;inversiones sofrisur s.a;Frigorifico Puerto Varas;23253;;Parcela 24 Sector la Laja S/N
76501283-k;CONSTRUCTORA CHRISTOPHER MUHLE E.I.R.L.;FUNDACION CASA CONTAINER;24332;chris@biodesing.cl;Parcela 6 La fabrica s/n
76931390-7;Construcciones y montajes Fovemat EIRL;Fundacion espesador;22227;;calle quebrada carrizalillo s/n
8976413-0;LUIS ALBERTO SILVA CARVAJAL;fundacion silo Soprole;23368;;nueva nº9 s/n
76190792-1;FULL SERVICE SERVICIOS INDUSTRIALES LUCIA ANTONIETA VALDES RIVERA E.I.R.L;FUNDACIONES NOVOFICH;24451;francisco.ottey@gmail.com;RUTA V-835 CAMINO A SAN AGUSTIN, HUELMO km28
76307751-9;CUENCA.SERVICIOS Y PRODUCTOS ARQUITECTONICOS SPA;FUNDO BELLAVISTA;24117;jvasquez@cuencaservicios.cl;PARCELA 9
77860800-6;AGRICOLA RIO PEUMO LIMITADA;FUNDO RIO PEUMO;21903;;FUNDO RIO PEUMO POPETA  S/N
77070930-k;Constructora Ricardo Teuber y Cia. Ltda.;Galeria Comercial Frutillar;22631;andrej.peric.a@gmail.com;Carlos Richter Esq. Eugenia Oyarzo Vargas s/n
76042166-9;CRISTIAN KLEIN CORTES. CONSTRUCCION.ASESORIAS Y SERVICIOS E.I.R.L.;Galpon Bodega Santa Cruz;24109;pauloquezadadav@gmail.com;Camino Chinquihue Km 12
76638410-2;EMILIO VARGAS Y CIA LTDA;GALPON CAL;23656;;ANTONIO VARAS 216 OF.402
79987520-9;CONSTRUCTORA BELMAR Y RIBBA LTDA.;GALPON COPESA QUILICURA;24426;jvergara@constructora-byr.cl;AV. PRESIDENTE EDUARDO FREI MONTALVA 9215
76124952-5;EQUIMAQ S.A.;GALPON HOOK;24033;HAMANCILLA@GMAIL.COM;RUTA 5 SUR KM 1010 S/N
76114023-K;Inversiones Maori Ltda.;Galpon Industrial Lahsen;22225;celahsen@gmail.com;Rivas 540
96538850-8;Sociedad Inmobiliaria Piedra Roja S.A.;GALPON JJ PEREZ;24711;constructorapiedraroja@gmail.com;LOS TURISTAS  0945
76136357-3;INGENIERIA Y SERVICIOS MEK SPA;GALPON LAMAR;24313;molivares@empresasmek.cl;avenida trapen loteo carmen de panitao manzana Y2 8
78276040-8;Sociedad Constructora Maino S.A.;Galpón MB San Antonio;24070;mmillar@scmaino.cl;Parcela Santa Gloria s-n
76568530-3;Manufacturas de Vestuario Piedra Molino Ltda.;Galpon Rio de Janeiro (Oficinas Katto);21911;socopincheira@gmail.com;Rio de Janeiro 359
78276040-8;Sociedad Constructora Maino S.A.;Galpón San Antonio;24497;mmillar@scmaino.cl;Parcela Santa Gloria  s/n
76246895-6;MOMENTA CONSTRUCCIONES S.A.;Galpón Transex;24503;jairo.cerda@momenta.cl;Camino El Rodeo 01855
76055248-8;CONSTRUCCIONES MGD E.I.R.L.;GALPON Y OFICINAS;22301;;RICARDO LEMUS 0178
76445750-1;Comercial Irontrust Ltda.;Galpones de Quilicura;21806;;Avda. Americo Vespucio 1681
78030120-1;CONSTRUCTORA ALTIUS S.A;GAMA LEASING;23265;rreyes@altius.cl;Av. Americo Vespucio 1300
76051781-k;Christian M. Apablaza V. Ing. y Const. EIRL;GASCO PROLESUR OSORNO;24747;marco.aguirre@baran.cl;PLANTA PROLESUR  S/N
76107042-8;Constructora Viviendas 2000 Ltda.;GENERAL GAMBINO II;23320;carlosaa@viviendas2000.com;GENERAL GAMBINO 3400
89912300-K;Ingenieria Y Construccion Ricardo Rodriguez Y Cia Ltda;GIMNASIO LICEO MERCEDES FRITIS;22663;;Henriquez 579
10434908-0;LUIS ERNESTO OROSTICA SALINAS;GIMNASIO NESTLE;24609;leorostica@gmail.com;VICENTE PEREZ ROSALES S/N
76112467-6;ASG INGENIERIA LTDA.;GIMNASIO PUC SAN JOAQUIN;22155;ASGINGE@MI.CL;AVENIDA VICUnA MACKENNA 4860
76055295-k;CONSTRUCTORA PLAZA DE ARMAS LTDA.;GIMNASIO SAINT GABRIEL;27961;avillar@plazadearmas.cl;FRANCISCO BILBAO 3070
76870960-2;CONSTRUCTORA ANDRES BASCUnAN ESPINEIRA Y CIA LTDA;GIMNASIO SAN JOSEPH SCHOOL;22519;;AVENIDA GUANACO S/N
13170703-7;JOSE NIKLITSCHEK VARGAS;GIMNASIO VICENTE PEREZ ROSALES;23989;;AV. ALESSANDRI  750
76002884-3;AKERONCAF SERVICIOS INDUSTRIALES LTDA;GUACOLDA HUASCO;24147;eduardo.prussing@akeroncaf.cl;ISLA GUACOLDA S/N
76057035-4;ANDREOTTI CONSTRUCTORA LTDA;HACIENDA EL PEnON;22266;VICTOR@EANDREOTTI.CL;AV SAN JOSE DE MAIPO 7712
76226630-k;EMPRESA CONSTRUCTORA ELE 3 LTDA;HACIENDA EL PEnON;22095;earroyo@ele3.cl;CAMINO EL VOLCAN 07712
79853280-4;CONSTRUCTORA BESALCO LTDA.;HACIENDA LOS CONQUISTADORES;22025;grojas@besalco.cl;CARDENAL OVIEDO s/n
76062496-9;Constructora CPI Ltda.;Hamburgo I;24492;nparra@cpi.cl;Hamburgo 557
78030120-1;CONSTRUCTORA ALTIUS S.A;HAMLET 1400;24021;pmeneses@altius.cl;CALLE HAMLET 4205
91300000-5;Empresa Constructora Tecsa S.A;Hiper Lider Puerto Montt;23359;cosses@salfacorp.com;Balmaceda 696
78276040-8;Sociedad Constructora Maino S.A.;Hiper Lider Vespucio Sur;22639;mmillar@scmaino.cl;Vespucio Sur 0925
83728100-8;Sociedad Constructora Rio Limari Ltda.;Hites - Ovalle;22565;jtorresdelcanto@gmail.com;Vicuna Mackenna 257
78496650-K;CONSTRUCTORA DENCO LTDA.;HITES TALCA;23520;JMVARGAS@DENCO.CL;CALLE 1 SUR 1620
76135284-9;CONSORCIO CONSTRUCTOR HOSPITAL DE TALCA S.A.;HOSPITAL DE TALCA;22375;;1 NORTE 1990
76421422-6;CONSORCIO INSTALACIONES MECANICAS;HOSPITAL GUSTAVO FRIKE;24586;;SIMON BOLIVAR  SN
84299100-5;EMPRESA CONSTRUCTORA DEL PACIFICO LTDA;Hospital Roberto Del Rio;22279;;Profesor Alberto Zanartu  1085
79605490-5;COMERCIAL SUCCESSO LTDA;Hotel Diego de Almagro - Calama;22079;hdacoyhaique@gmail.com;AV. LA PAZ 1675
79605490-5;COMERCIAL SUCCESSO LTDA;HOTEL DIEGO DE ALMAGRO LA SERENA;23244;astamatiu@dahoteles.com;FRANCISCO DE AGUIRRE 665
79605490-5;COMERCIAL SUCCESSO LTDA;HOTEL DIGO ALMAGRO OSORNO;24100;hdaosorno@gmail.com;AV. FUSCHLOCHER  1236
76098611-9;Hotelera Pinacoteca el Greco Ltda;Hotel El Greco;23525;alfredo@delgreco.cl;Mirador 134
8976413-0;LUIS ALBERTO SILVA CARVAJAL;HOTEL GARCIA HURTADO DE MENDOZA;23644;;MANUEL RODRIGUEZ 1737
76306317-8;INMOBILIARIA NEUQUEN S.A.;HOTEL SOLACE SANTIAGO;24580;carlosl@losportales.cl;SOTERO SANZ 252
77912050-3;ESPECTRO CHILE TELECOMUNICACIONES LTDA.;HUB LA CISTERNA VTR;22552;lorenzo.gonzalez@espectrochile.c;BRISAS DEL MAIPO 271
9422956-1;ALONSO CARRASCO CAMPOS;HUECHURABA;22013;miguel.perez@tie.cl;PASAJE LOS TORNEROS 5846
9828845-7;JOSE MIGUEL ZAMORANO ZAMORANO;IDIEM;22789;;PLAZA ERCILLA 883
78702530-7;Constructora Pio V Ltda.;Iglesia del Buen Pastor;24417;fdiaz@piov.cl;Yungay 398
96726770-8;PRODARQ S.A.;IGLESIA UNIVERSAL;24349;hmv@prodarq.cl;MOLINA 60
77935890-9;ICON INGENIERIA Y CONSTRUCCION S.A.;INACAP - TALCA;23211;carlosobando@icon.cl;AVENIDA SAN MIGUEL 2641
76274469-4;Martinez Morejon Ing. y Constr. Ltda.;Inacap Santiago Sur;23514;fmartinez@constructoramm.cl;Av. Vicuna Mackenna 3864
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA;INDISA LOS CONQUISTADORES;23985;rtorrealba@bravoizquierdo.cl;LOS CONQUISTADORES 1930
89853600-9;Constructora Ingevec S.A.;Inicia San Felipe;21915;fgran@ingevec.cl;Avda. Tocornal s/n
76260324-1;COM, E INV. APOBAL LIMITADA;INSTALACION CELULOSA;24060;contacto@thermikhaus.cl;MOLINO VIEJO  S/N
76101005-0;ABACO INGENIERIA Y CONSTRUCCIONES LIMITADA;INSTALACION DUCTO PAINE;22108;rnunez@constructoraabaco.cl;9 DE ENERO 02945
10248881-4;JOSE MIGUEL VERGARA BUNSTER;INSTALACION TECHUMBRE;24279;inverbun@gmail.com;PARCELACION SAN IGNACIO - LOTE 31
96528140-1;Constructora L y D S.A.;IP Chile sede La Serena;21921;carlos.carcamo@ldconstructora.cl;Avda. Francisco de Aguirre 396
76202925-1;CONSTRUCTORA INMOBISUR SPA;JARDIN CERRO TRONADOR;24736;fmeneses @inmobisur;INTENDENTE AURELIO ANDRADE 4655
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;JARDIN INFANTIL CAPULLITO;23402;LTOLOZA@TRIMETAL.CL;18 DE SEPTIEMBRE 599
76202925-1;CONSTRUCTORA INMOBISUR SPA;Jardin Infantil Costa Tenglo;27991;pvinet@constructorainmobisur.cl;Camino interior costa tenglo alto  S/N
77967890-3;CONSTRUCTORA KOHN Y SALINAS LTDA.;JARDIN INFANTIL EUGENIO PEREIRA;23979;calarcon@constructoraekohn.cl;COOPERACION  4581
79784160-9;CONSTRUCTORA RYBERTT Y RYBERTT LTDA;Jardin Infantil Pinguinitos;27946;cra35@yahoo.com;av. las encinas 230
76255029-6;EMPRESA CONSTRUCTORA COLCHAGUA LTDA;JARDIN INFANTIL Y S.C SAN MIGUEL ARCANGEL;23199;molino.constructora@gmail.com;LO MARTINEZ 930
77967890-3;CONSTRUCTORA KOHN Y SALINAS LTDA.;JARDIN INFANTIL Y SALA CUNA CATAMARCA;22871;;CALLE 6 2231
76196457-7;MH INMOBILIARIA Y CONSTRUCCIONES LTDA.;JARDIN RENE SCHNEIDER;27955;administracion@mhempresas.cl;AV.RENE SCHNEIDER 3490
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;Jardines de Chicureo;23031;;jose rabat 9960
96844950-8;Ebco S.A.;Jardines del Canto;22677;francisco.guzman@ebco.cl;Avenida Chamisero  S/N
76014318-9;RVC CONSTRUCTORA LTDA;JARDINES DEL POLO;23801;jarce@rvc.cl;AVENIDA LAS ROSAS S/N
76212075-5;CONSTRUCTORA LEFCO S.A.;JDF - CONDOMINIO PLAYA BLANCA;22532;mnunez@lefco.cl;MAR DEL PLATA S/N
88213400-8;EMPRESA CONSTRUCTORA DESCO S.A;JUAN XXIII;23137;mingles@desco.cl;JUAN XXIII 6110
79730880-3;INGENIERIA Y CONSTRUCCION INCOLUR S.A.;JULIA BERSTEIN;22001;jmorales@incolur.cl;JULIA BERSTEIN 322
79588430-0;EMPRESA CONSTRUCTORA COEX LTDA;Juzgado de Letras y Familia - Los Lagos;24706;hleigh@coex.cl;San Martin 280
76310000-6;SOCIEDAD CONSTRUCTORA Y REVESTIMIENTOS ELEXEM Y COMPANIA LIMITADA;Juzgado Puente Alto;22287;adminisracion@elexem.cl;Av. Concha y Toro 1723
76007523-k;CONSTRUCTORA DE PRAGA LTDA.;KEYLOGISTIC;22348;;LAGO RInIHUE 02319
76407232-4;Jose Tomas Montt Rodriguez Arq. y Const. EIRL;La Capellania;23741;jtmontt@mmasarq.com;Los Acantos 1150
76251498-2;CONSTRUCTORA AP SPA;LA ESPUELA;23589;emenendez@apconstructora.cl;LA ESPUELA 12539
76126524-5;CONSTRUCTORA FUTURO SPA;LA GRANJA;22134;arielwx@gmail.com;SAN JOSe DE LA ESTRELLA 1004
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;LA LAGUNA;23311;mcerda@constructorasae.cl;CAMINO LA LAGUNA 14740
78056380-k;Danacorp S.A;LA MARINA;24223;csoto@danacorp.cl;LA MARINA  1150
77457390-9;MG INGENIERIA Y CONSTRUCCIONES S.A.;LA PARVA;22325;;MANZANO N343 OFICINA 407
96982890-1;CONSTRUCTORA SUDAMERICANA;Laboratorio B. Braun;23430;frojas@cosud.cl;Avenida Puerta Sur 03351
76959890-1;SIENA CONSTRUCTORA S.A.;LAGARES;22188;clandaeta@siena.cl;CAMINO EL ALGARROBO S/N
96844950-8;Ebco S.A.;Laguna Bahia;22716;andres.vargas@ebco.cl;Avenida El Parque s/n
86856700-7;CONSTRUCTORA NOVATEC S.A.;LAGUNA DEL SOL - B8;24600;ramolina@novatec.cl;EL SAUCE - FUNDO SANTA HERMINIA S/N
79897890-K;CONSTRUCTORA SANTA TERESA LTDA;LAS ARAUCARIAS;23468;gparraguez@cst-ltda.cl;LAS ARAUCARIAS 1723
76008811-0;INGEKALT;LAS HUALTATAS;22066;;LAS HUALTATAS 10761
96538850-8;Sociedad Inmobiliaria Piedra Roja S.A.;Las Hualtatas;23035;constructorapiedraroja@gmail.com;Moneda 1137 95
76055295-k;CONSTRUCTORA PLAZA DE ARMAS LTDA.;LAS VERBENAS;23115;jorgepennaroli@plazadearmas.cl;LAS VERBENAS 8055
78249560-7;CONSTRUCTORA ALPINA LTDA;LAUTARO;22105;;LAUTARO 260
13734875-6;ROSE MARY SEN ADEM;LECHERA DEL LAG;24145;;ARTURO ALESSANDRI 153
77398990-7;SOCIEDAD VILLAVECCHIA Y ACOSTA LIMITADA;LIBRERiA ULISES;23170;rodrigo.e.orellana@gmail.com;AV. LAS CONDES 5413, LOCAL 367
78742000-1;KRAS CONSTRUCCIONES LIMITADA;LICEO A -7, TERESA PRAT;21796;daniel.urzua@kras.cl;GENERAL GANA 959
78902950-4;CONSTRUCTORA GOMEZ RECABARREN LTDA;LICEO A-37 LIMACHE;23350;cgr1991@gmail.com;RIQUELME 133
59160350-7;COPCISA S.A.;LICEO ABATE MOLINA;21939;;4 NORTE 1267
76033630-0;ALTHA LTDA.;LICEO BEZANILLA SALINAS;23027;;Manuel de Amat 2940
76008811-0;INGEKALT;LICEO BICENTENARIO;23075;;NATANIEL COX 1801
78702530-7;Constructora Pio V Ltda.;LICEO MARIA LUISA BOMBAL;22787;jgonzalez@piov.cl;O'CARROL 499
89912300-K;Ingenieria Y Construccion Ricardo Rodriguez Y Cia Ltda;LICEO MERCEDES FRITIS;22619;germanmolin@gmail.com;CALLE S/N
96900720-7;INMOBILIARIA PROEDUCACION Y CULTURA EDUCA S A;LICEO PAULA JARAQUEMADA;22261;jaimepetit@gmail.com;LOS CARRERA 467
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;LICEO RECTOR ABDON ANDRADE;23747;CRAMIREZ@TRIMETAL.CL;ARTURO PRAT 369
96538850-8;Sociedad Inmobiliaria Piedra Roja S.A.;LLAVERIA;23366;;llaveria 1118
76401965-2;3R Arquitectos;LML;27963;;Luis Matte Larrain  10011
82216800-0;ELECTRO HORN LTDA.;LOCAL COMERCIAL;24048;;SAN JOSE  420
78999010-7;INVERSIONES OESTE LIMITADA;LOCAL COMERCIAL PUENTE ALTO;23370;cc.socar@gmail.com;AVENIDA GABRIELA  1790
76203052-7;CONST. DAVID LEANDRO MANQUENAHUEL EIRL;LOCAL COMERCIAL SAN ALFONSO;23385;dmmconstr@gmail.com;San Alfonso  471
76203052-7;CONST. DAVID LEANDRO MANQUENAHUEL EIRL;LOCAL COMERCIAL SAN ALFONSO 405;24522;faravena@dmmconstructora.cl;SAN ALFONSO 405
76157213-k;CONSTRUCTORA ICATEC LTDA.;LOCAL COMERCIAL Y OFICINAS EL ROBLE;22030;;EL ROBLE  711
5966778-5;Lucila Aviles Saavedra;Locales Comerciales Tobalaba;21804;danielquiroz@paintbrush.cl;Avda. Tobalaba 8683
76008811-0;INGEKALT;LOMAS DE LA DEHESA;22121;;LOMAS DE LA DEHESA 9313
